column00,Unnamed: 0,TermName,StudentID,StudentDateOfBirth,StudentGender,Grade,Subject,Course,TestName,TestID,TestStartDate,TestStartTime,TestDurationMinutes,TestRITScore,TestStandardError,TestPercentile,AchievementQuintile,PercentCorrect,RapidGuessingPercentage,LexileScore,LexileMin,LexileMax,Goal1Name,Goal1RitScore,Goal1Adjective,Goal2Name,Goal2RitScore,Goal2Adjective,Goal3Name,Goal3RitScore,Goal3Adjective,Goal4Name,Goal4RitScore,Goal4Adjective,Goal5Name,Goal5RitScore,Goal5Adjective,TestStartDateTime,Year,ClassOf,Season
89,89,Fall 2019-2020,1246026,2003-09-01,M,10,Language Arts,Reading,Growth: Reading 6+ CCSS 2010 V3,599173214,2019-10-01,09:04:50,71,249,3.5,94.0,High,63,0.0,1655.0,1555.0,1705.0,Literary Text: Key Ideas and Details,251,High,"Literary Text: Language, Craft, and Structure",255,High,Informational Text: Key Ideas and Details,246,High,"Informational Text: Language, Craft, and Structure",250.0,High,Vocabulary: Acquisition and Use,244.0,High,2019-10-01 09:04:50,2019-2020,2022,Fall
92,92,Fall 2019-2020,1250316,2004-05-12,F,10,Language Arts,Reading,Growth: Reading 6+ CCSS 2010 V3,596639550,2019-09-30,14:06:20,95,226,3.3,60.0,Avg,48,0.0,1190.0,1090.0,1240.0,Literary Text: Key Ideas and Details,229,HiAvg,"Literary Text: Language, Craft, and Structure",225,Avg,Informational Text: Key Ideas and Details,229,HiAvg,"Informational Text: Language, Craft, and Structure",220.0,Avg,Vocabulary: Acquisition and Use,226.0,Avg,2019-09-30 14:06:20,2019-2020,2022,Fall
95,95,Fall 2019-2020,1256295,2005-07-11,F,9,Language Arts,Reading,Growth: Reading 6+ CCSS 2010 V3,599172499,2019-10-01,10:52:47,38,209,3.4,30.0,LoAvg,43,5.0,850.0,750.0,900.0,Literary Text: Key Ideas and Details,218,Avg,"Literary Text: Language, Craft, and Structure",223,Avg,Informational Text: Key Ideas and Details,206,LoAvg,"Informational Text: Language, Craft, and Structure",191.0,Low,Vocabulary: Acquisition and Use,208.0,LoAvg,2019-10-01 10:52:47,2019-2020,2023,Fall
98,98,Fall 2019-2020,1256429,2004-06-12,F,10,Language Arts,Reading,Growth: Reading 6+ CCSS 2010 V3,599173029,2019-10-01,09:05:01,79,254,3.7,96.0,High,72,0.0,1755.0,1655.0,1805.0,Literary Text: Key Ideas and Details,241,High,"Literary Text: Language, Craft, and Structure",252,High,Informational Text: Key Ideas and Details,255,High,"Informational Text: Language, Craft, and Structure",257.0,High,Vocabulary: Acquisition and Use,270.0,High,2019-10-01 09:05:01,2019-2020,2022,Fall
101,101,Fall 2019-2020,1256430,2005-07-12,F,9,Language Arts,Reading,Growth: Reading 6+ CCSS 2010 V3,596763364,2019-09-30,15:01:48,63,246,3.5,92.0,High,60,0.0,1595.0,1495.0,1645.0,Literary Text: Key Ideas and Details,249,High,"Literary Text: Language, Craft, and Structure",249,High,Informational Text: Key Ideas and Details,244,High,"Informational Text: Language, Craft, and Structure",242.0,High,Vocabulary: Acquisition and Use,247.0,High,2019-09-30 15:01:48,2019-2020,2023,Fall
104,104,Fall 2019-2020,1261863,2004-12-14,F,9,Language Arts,Reading,Growth: Reading 6+ CCSS 2010 V3,597016682,2019-10-01,10:52:45,102,251,3.5,95.0,High,66,0.0,1695.0,1595.0,1745.0,Literary Text: Key Ideas and Details,251,High,"Literary Text: Language, Craft, and Structure",254,High,Informational Text: Key Ideas and Details,249,High,"Informational Text: Language, Craft, and Structure",245.0,High,Vocabulary: Acquisition and Use,256.0,High,2019-10-01 10:52:45,2019-2020,2023,Fall
107,107,Fall 2019-2020,1261869,2005-02-03,F,9,Language Arts,Reading,Growth: Reading 6+ CCSS 2010 V3,596763420,2019-09-30,15:01:40,47,247,3.4,93.0,High,58,0.0,1615.0,1515.0,1665.0,Literary Text: Key Ideas and Details,249,High,"Literary Text: Language, Craft, and Structure",254,High,Informational Text: Key Ideas and Details,234,HiAvg,"Informational Text: Language, Craft, and Structure",254.0,High,Vocabulary: Acquisition and Use,245.0,High,2019-09-30 15:01:40,2019-2020,2023,Fall
110,110,Fall 2019-2020,1261876,2004-06-10,F,10,Language Arts,Reading,Growth: Reading 6+ CCSS 2010 V3,596639582,2019-10-01,09:05:01,99,245,3.4,91.0,High,60,0.0,1575.0,1475.0,1625.0,Literary Text: Key Ideas and Details,243,High,"Literary Text: Language, Craft, and Structure",234,HiAvg,Informational Text: Key Ideas and Details,261,High,"Informational Text: Language, Craft, and Structure",244.0,High,Vocabulary: Acquisition and Use,244.0,High,2019-10-01 09:05:01,2019-2020,2022,Fall
113,113,Fall 2019-2020,1261879,2004-04-28,M,10,Language Arts,Reading,Growth: Reading 6+ CCSS 2010 V3,596903995,2019-10-15,08:58:30,25,197,3.3,9.0,Low,53,2.5,605.0,505.0,655.0,Literary Text: Key Ideas and Details,200,Low,"Literary Text: Language, Craft, and Structure",199,Low,Informational Text: Key Ideas and Details,197,Low,"Informational Text: Language, Craft, and Structure",198.0,Low,Vocabulary: Acquisition and Use,188.0,Low,2019-10-15 08:58:30,2019-2020,2022,Fall
116,116,Fall 2019-2020,1261888,2002-07-03,M,10,Language Arts,Reading,Growth: Reading 6+ CCSS 2010 V3,599172569,2019-10-01,09:07:45,15,204,3.3,16.0,Low,45,15.0,745.0,645.0,795.0,Literary Text: Key Ideas and Details,201,Low,"Literary Text: Language, Craft, and Structure",196,Low,Informational Text: Key Ideas and Details,203,Low,"Informational Text: Language, Craft, and Structure",200.0,Low,Vocabulary: Acquisition and Use,217.0,Avg,2019-10-01 09:07:45,2019-2020,2022,Fall
119,119,Fall 2019-2020,1261891,2002-07-03,M,11,Language Arts,Reading,Growth: Reading 6+ CCSS 2010 V3,596639578,2019-09-30,10:55:13,75,253,3.5,95.0,High,70,0.0,1735.0,1635.0,1785.0,Literary Text: Key Ideas and Details,239,HiAvg,"Literary Text: Language, Craft, and Structure",264,High,Informational Text: Key Ideas and Details,250,High,"Informational Text: Language, Craft, and Structure",246.0,High,Vocabulary: Acquisition and Use,272.0,High,2019-09-30 10:55:13,2019-2020,2021,Fall
122,122,Fall 2019-2020,1261892,2004-01-12,F,11,Language Arts,Reading,Growth: Reading 6+ CCSS 2010 V3,599416984,2019-09-30,10:55:30,70,236,3.3,76.0,HiAvg,55,0.0,1395.0,1295.0,1445.0,Literary Text: Key Ideas and Details,236,HiAvg,"Literary Text: Language, Craft, and Structure",247,High,Informational Text: Key Ideas and Details,234,HiAvg,"Informational Text: Language, Craft, and Structure",235.0,HiAvg,Vocabulary: Acquisition and Use,230.0,HiAvg,2019-09-30 10:55:30,2019-2020,2021,Fall
125,125,Fall 2019-2020,1261893,2003-01-29,M,11,Language Arts,Reading,Growth: Reading 6+ CCSS 2010 V3,596639517,2019-10-17,14:08:59,43,233,3.4,70.0,HiAvg,45,2.5,1330.0,1230.0,1380.0,Literary Text: Key Ideas and Details,228,Avg,"Literary Text: Language, Craft, and Structure",227,Avg,Informational Text: Key Ideas and Details,226,Avg,"Informational Text: Language, Craft, and Structure",250.0,High,Vocabulary: Acquisition and Use,234.0,HiAvg,2019-10-17 14:08:59,2019-2020,2021,Fall
128,128,Fall 2019-2020,1264248,2005-01-19,F,9,Language Arts,Reading,Growth: Reading 6+ CCSS 2010 V3,599173099,2019-10-01,10:52:45,51,193,3.3,9.0,Low,43,0.0,525.0,425.0,575.0,Literary Text: Key Ideas and Details,198,Low,"Literary Text: Language, Craft, and Structure",194,Low,Informational Text: Key Ideas and Details,187,Low,"Informational Text: Language, Craft, and Structure",193.0,Low,Vocabulary: Acquisition and Use,193.0,Low,2019-10-01 10:52:45,2019-2020,2023,Fall
131,131,Fall 2019-2020,126455,2002-10-09,F,11,Language Arts,Reading,Growth: Reading 6+ CCSS 2010 V3,599417015,2019-09-30,10:55:12,70,243,3.3,86.0,High,58,0.0,1535.0,1435.0,1585.0,Literary Text: Key Ideas and Details,241,High,"Literary Text: Language, Craft, and Structure",250,High,Informational Text: Key Ideas and Details,230,HiAvg,"Informational Text: Language, Craft, and Structure",243.0,High,Vocabulary: Acquisition and Use,252.0,High,2019-09-30 10:55:12,2019-2020,2021,Fall
134,134,Fall 2019-2020,1270044,2005-06-14,F,9,Language Arts,Reading,Growth: Reading 6+ CCSS 2010 V3,596763433,2019-09-30,15:01:56,54,214,3.5,40.0,LoAvg,52,0.0,950.0,850.0,1000.0,Literary Text: Key Ideas and Details,201,Low,"Literary Text: Language, Craft, and Structure",224,Avg,Informational Text: Key Ideas and Details,208,LoAvg,"Informational Text: Language, Craft, and Structure",233.0,HiAvg,Vocabulary: Acquisition and Use,203.0,LoAvg,2019-09-30 15:01:56,2019-2020,2023,Fall
137,137,Fall 2019-2020,1280701,2004-07-27,M,10,Language Arts,Reading,Growth: Reading 6+ CCSS 2010 V3,599416854,2019-09-30,14:14:01,32,226,3.4,60.0,Avg,55,0.0,1190.0,1090.0,1240.0,Literary Text: Key Ideas and Details,221,Avg,"Literary Text: Language, Craft, and Structure",227,HiAvg,Informational Text: Key Ideas and Details,223,Avg,"Informational Text: Language, Craft, and Structure",227.0,HiAvg,Vocabulary: Acquisition and Use,232.0,HiAvg,2019-09-30 14:14:01,2019-2020,2022,Fall
140,140,Fall 2019-2020,1282524,2005-01-26,M,9,Language Arts,Reading,Growth: Reading 6+ CCSS 2010 V3,597016632,2019-10-01,10:52:47,87,253,3.5,96.0,High,70,0.0,1735.0,1635.0,1785.0,Literary Text: Key Ideas and Details,250,High,"Literary Text: Language, Craft, and Structure",248,High,Informational Text: Key Ideas and Details,247,High,"Informational Text: Language, Craft, and Structure",261.0,High,Vocabulary: Acquisition and Use,261.0,High,2019-10-01 10:52:47,2019-2020,2023,Fall
143,143,Fall 2019-2020,1282552,2005-05-27,M,9,Language Arts,Reading,Growth: Reading 6+ CCSS 2010 V3,596763375,2019-09-30,15:01:51,45,242,3.4,89.0,High,60,0.0,1515.0,1415.0,1565.0,Literary Text: Key Ideas and Details,234,HiAvg,"Literary Text: Language, Craft, and Structure",250,High,Informational Text: Key Ideas and Details,231,HiAvg,"Informational Text: Language, Craft, and Structure",231.0,HiAvg,Vocabulary: Acquisition and Use,275.0,High,2019-09-30 15:01:51,2019-2020,2023,Fall
146,146,Fall 2019-2020,1289820,2003-07-14,F,10,Language Arts,Reading,Growth: Reading 6+ CCSS 2010 V3,599172509,2019-10-01,09:04:52,61,245,3.3,91.0,High,58,0.0,1575.0,1475.0,1625.0,Literary Text: Key Ideas and Details,241,High,"Literary Text: Language, Craft, and Structure",245,High,Informational Text: Key Ideas and Details,247,High,"Informational Text: Language, Craft, and Structure",243.0,High,Vocabulary: Acquisition and Use,248.0,High,2019-10-01 09:04:52,2019-2020,2022,Fall
149,149,Fall 2019-2020,1289821,2004-08-02,F,10,Language Arts,Reading,Growth: Reading 6+ CCSS 2010 V3,599416811,2019-09-30,14:06:39,42,245,3.4,91.0,High,63,0.0,1575.0,1475.0,1625.0,Literary Text: Key Ideas and Details,242,High,"Literary Text: Language, Craft, and Structure",241,High,Informational Text: Key Ideas and Details,250,High,"Informational Text: Language, Craft, and Structure",243.0,High,Vocabulary: Acquisition and Use,248.0,High,2019-09-30 14:06:39,2019-2020,2022,Fall
152,152,Fall 2019-2020,1289822,2004-04-26,F,10,Language Arts,Reading,Growth: Reading 6+ CCSS 2010 V3,599172494,2019-10-01,09:04:57,39,230,3.3,68.0,HiAvg,53,0.0,1270.0,1170.0,1320.0,Literary Text: Key Ideas and Details,226,Avg,"Literary Text: Language, Craft, and Structure",224,Avg,Informational Text: Key Ideas and Details,238,HiAvg,"Informational Text: Language, Craft, and Structure",238.0,HiAvg,Vocabulary: Acquisition and Use,222.0,Avg,2019-10-01 09:04:57,2019-2020,2022,Fall
